n,labels
"(:Moderaterna:Partiresultat {roster2018: 3639,kommun: Ale,roster2022: 3568,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 1358,kommun: Ale,roster2022: 1029,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 914,kommun: Ale,roster2022: 648,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 1212,kommun: Ale,roster2022: 1100,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 5401,kommun: Ale,roster2022: 5834,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1478,kommun: Ale,roster2022: 1301,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 759,kommun: Ale,roster2022: 694,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 4301,kommun: Ale,roster2022: 5015,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 268,kommun: Ale,roster2022: 328,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 19330,kommun: Ale,roster2022: 19517,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 10,kommun: Ale,roster2022: 6,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 218,kommun: Ale,roster2022: 180,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 9,kommun: Ale,roster2022: 27,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 19567,kommun: Ale,roster2022: 19730,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 22266,kommun: Ale,roster2022: 23187,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 5047,kommun: Alingsås,roster2022: 4979,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 2696,kommun: Alingsås,roster2022: 1930,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 1857,kommun: Alingsås,roster2022: 1416,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 2369,kommun: Alingsås,roster2022: 2023,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 7268,kommun: Alingsås,roster2022: 8256,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 2149,kommun: Alingsås,roster2022: 1811,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 1590,kommun: Alingsås,roster2022: 1607,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 4221,kommun: Alingsås,roster2022: 5295,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 374,kommun: Alingsås,roster2022: 417,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 27571,kommun: Alingsås,roster2022: 27734,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 7,kommun: Alingsås,roster2022: 9,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 223,kommun: Alingsås,roster2022: 251,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 19,kommun: Alingsås,roster2022: 10,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 27820,kommun: Alingsås,roster2022: 28004,parti: Valdeltagande})","[Info, Turnout]"
